team_home,team_away,date,odds1,oddsX,odds2,result
São Paulo,Internacional,2025-03-14,1.58,3.36,2.45,X
Bologna,Sampdoria,2025-04-16,1.84,3.27,3.43,?
Hellas Verona,Torino,2025-03-02,2.24,3.1,2.48,2
Fluminense,Sao Paulo,2025-03-17,2.44,3.06,2.14,2
Palmeiras,Corinthians,2025-04-07,1.97,2.81,1.63,?
Corinthians,Flamengo,2025-02-18,2.81,3.2,2.15,1
Boca Juniors,River Plate,2025-04-04,1.74,3.33,2.36,?
Sevilla,Real Betis,2025-04-16,2.16,3.4,2.69,?
Parma,Verona,2025-03-29,2.01,2.68,1.52,?
Flamengo,Vasco da Gama,2025-03-30,2.76,3.06,3.29,?
Everton,Newcastle United,2025-02-28,1.97,3.36,3.07,2
Everton,Newcastle United,2025-02-24,1.95,2.68,1.68,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-17,2.86,3.16,1.89,?
Flamengo,Vasco da Gama,2025-04-04,2.92,3.41,2.95,?
Villarreal,Real Betis,2025-04-04,2.36,2.71,2.52,?
Napoli,Lazio,2025-03-25,2.05,2.63,1.84,?
PSG,Lyon,2025-03-11,2.79,2.59,3.19,2
Bayer Leverkusen,Bayern Munich,2025-03-30,2.86,2.69,2.3,?
Roma,Napoli,2025-03-15,1.62,2.52,3.25,X
Manchester City,Chelsea,2025-04-08,2.59,2.65,1.73,?
Parma,Verona,2025-04-11,2.02,2.73,2.18,?
Sassuolo,Empoli,2025-03-28,2.26,2.92,2.12,?
Hellas Verona,Torino,2025-03-10,2.62,3.28,1.79,X
Torino,Cagliari,2025-03-14,1.53,3.36,1.73,X
Corinthians,Fluminense,2025-04-15,2.61,3.18,1.57,?
Everton,Newcastle United,2025-03-08,2.07,3.02,3.29,X
Boca Juniors,River Plate,2025-03-15,1.78,2.73,3.3,X
Barcelona,Atletico Madrid,2025-03-02,2.82,2.89,3.17,X
Manchester United,Manchester City,2025-03-19,2.81,3.1,2.85,?
Lazio,Fiorentina,2025-04-15,1.9,2.8,1.91,?
Flamengo,Vasco da Gama,2025-03-22,2.08,3.36,2.33,?
Fluminense,Sao Paulo,2025-03-04,1.51,2.5,1.88,X
Tottenham,West Ham United,2025-03-02,2.98,2.86,2.45,X
Manchester United,Manchester City,2025-03-09,1.71,2.81,3.08,X
Bayer Leverkusen,Bayern Munich,2025-03-05,2.85,3.18,1.63,X
Villarreal,Real Betis,2025-04-10,3.39,2.87,3.38,?
FC Porto,Sporting CP,2025-04-05,3.45,2.91,2.95,?
Celtic,Rangers,2025-04-04,1.58,3.36,3.24,?
Benfica,Portimonense,2025-02-17,3.26,2.7,3.12,2
AC Milan,Juventus,2025-03-25,3.33,3.21,2.33,?
Lazio,Fiorentina,2025-03-29,3.45,2.83,2.03,?
Parma,Verona,2025-04-02,2.93,3.15,2.11,?
Rangers,Aberdeen,2025-03-30,2.72,2.7,2.26,?
Sassuolo,Empoli,2025-03-07,1.91,3.2,2.99,1
Barcelona,Atletico Madrid,2025-02-20,2.24,2.76,3.13,X
Manchester City,Chelsea,2025-03-24,2.92,3.06,1.59,?
Lazio,Inter,2025-03-30,3.1,2.5,2.65,?
Marseille,Nice,2025-02-16,1.5,2.88,2.6,1
VfB Stuttgart,Borussia Dortmund,2025-03-08,2.01,2.84,2.22,1
Santos,Gremio,2025-04-08,1.98,3.2,2.53,?
Real Madrid,Valencia,2025-03-06,1.92,3.08,2.7,X
Celtic,Rangers,2025-03-06,3.15,2.72,2.12,2
FC Porto,Sporting CP,2025-03-26,1.52,2.66,3.02,?
VfB Stuttgart,Borussia Dortmund,2025-03-17,2.61,2.84,2.45,X
Tottenham,West Ham United,2025-04-01,2.19,3.38,2.03,?
FC Porto,Sporting CP,2025-02-27,1.94,2.53,3.02,1
Fluminense,Sao Paulo,2025-03-24,2.71,2.53,3.48,?
Benfica,Portimonense,2025-04-17,2.11,2.5,3.11,?
Corinthians,Flamengo,2025-04-02,1.8,2.89,2.17,?
VfB Stuttgart,Borussia Dortmund,2025-03-21,3.13,3.22,2.26,?
Palmeiras,São Paulo,2025-03-21,2.4,2.53,2.65,?
Villarreal,Real Betis,2025-04-04,1.86,3.44,2.81,?
Napoli,Lazio,2025-04-05,2.82,3.13,2.79,?
Torino,Cagliari,2025-03-13,3.3,3.34,1.73,1
Arsenal,Tottenham,2025-04-07,2.86,3.43,1.51,?
Sevilla,Real Betis,2025-02-24,2.78,3.31,2.13,X
Roma,Napoli,2025-03-16,2.27,3.4,3.19,2
Udinese,Salernitana,2025-03-31,2.0,3.23,1.53,?
Bologna,Sampdoria,2025-04-04,2.91,3.13,3.46,?
Roma,Napoli,2025-03-11,3.28,3.44,3.22,1
Roma,Napoli,2025-03-29,2.2,3.42,2.3,?
Milan,Inter,2025-03-29,3.21,3.09,1.77,?
Tottenham,West Ham United,2025-02-16,2.44,2.86,2.26,1
Udinese,Salernitana,2025-03-24,2.31,3.38,2.74,?
Fluminense,Sao Paulo,2025-03-30,2.1,3.45,2.97,?
Villarreal,Real Betis,2025-03-11,1.59,3.3,1.7,1
Benfica,Portimonense,2025-02-26,2.7,2.71,2.19,X
Bayer Leverkusen,Bayern Munich,2025-02-25,2.82,2.76,1.73,2
Barcelona,Atletico Madrid,2025-02-21,2.81,2.71,3.3,X
Sevilla,Real Betis,2025-02-17,2.41,2.83,3.05,X
Real Sociedad,Athletic Bilbao,2025-04-17,2.49,2.72,3.33,?
Boca Juniors,River Plate,2025-04-12,1.57,2.82,3.26,?
Udinese,Salernitana,2025-04-06,2.05,2.9,3.07,?
Boca Juniors,River Plate,2025-03-10,3.08,2.57,1.51,2
Maritimo,Boavista,2025-03-23,2.46,2.81,3.14,?
